2022-07-26 15:37:59.926 > INFO   springAppName_IS_UNDEFINED o.a.f.a.j.typeutils.TypeExtractor class org.apache.flink.streaming.api.functions.source.TimestampedFileInputSplit does not contain a setter for field modificationTime
2022-07-26 15:37:59.929 > INFO   springAppName_IS_UNDEFINED o.a.f.a.j.typeutils.TypeExtractor Class class org.apache.flink.streaming.api.functions.source.TimestampedFileInputSplit cannot be used as a POJO type because not all fields are valid POJO fields, and must be processed as GenericType. Please read the Flink documentation on "Data Types & Serialization" for details of the effect on performance.
2022-07-26 15:38:00.145 > INFO   springAppName_IS_UNDEFINED o.a.f.s.a.e.LocalStreamEnvironment Running job on local embedded Flink mini cluster
2022-07-26 15:38:00.155 > INFO   springAppName_IS_UNDEFINED o.a.f.r.minicluster.MiniCluster Starting Flink Mini Cluster
2022-07-26 15:38:00.358 > INFO   springAppName_IS_UNDEFINED o.a.f.r.minicluster.MiniCluster Starting Metrics Registry
2022-07-26 15:38:00.373 > INFO   springAppName_IS_UNDEFINED o.a.f.r.metrics.MetricRegistryImpl No metrics reporter configured, no metrics will be exposed/reported.
2022-07-26 15:38:00.373 > INFO   springAppName_IS_UNDEFINED o.a.f.r.minicluster.MiniCluster Starting RPC Service(s)
2022-07-26 15:38:00.774 > INFO   springAppName_IS_UNDEFINED akka.event.slf4j.Slf4jLogger Slf4jLogger started
2022-07-26 15:38:00.797 > INFO   springAppName_IS_UNDEFINED o.a.f.r.minicluster.MiniCluster Starting high-availability services
2022-07-26 15:38:01.689 > INFO   springAppName_IS_UNDEFINED o.a.flink.runtime.blob.BlobServer Created BLOB server storage directory C:\Users\Mechrevo\AppData\Local\Temp\blobStore-9a511838-7b58-4be6-bfaa-9a3176cce147
2022-07-26 15:38:01.698 > INFO   springAppName_IS_UNDEFINED o.a.flink.runtime.blob.BlobServer Started BLOB server at 0.0.0.0:49341 - max concurrent requests: 50 - max backlog: 1000
2022-07-26 15:38:01.699 > INFO   springAppName_IS_UNDEFINED o.a.f.r.minicluster.MiniCluster Starting ResourceManger
2022-07-26 15:38:01.733 > INFO   springAppName_IS_UNDEFINED o.a.f.r.rpc.akka.AkkaRpcService Starting RPC endpoint for org.apache.flink.runtime.resourcemanager.StandaloneResourceManager at akka://flink/user/resourcemanager_291abeab-09a4-4b9d-b74d-85d6750a284e .
2022-07-26 15:38:01.753 > INFO   springAppName_IS_UNDEFINED o.a.f.r.h.n.e.EmbeddedLeaderService Proposing leadership to contender org.apache.flink.runtime.resourcemanager.StandaloneResourceManager@51850751 @ akka://flink/user/resourcemanager_291abeab-09a4-4b9d-b74d-85d6750a284e
2022-07-26 15:38:01.756 > INFO   springAppName_IS_UNDEFINED o.a.f.r.r.StandaloneResourceManager ResourceManager akka://flink/user/resourcemanager_291abeab-09a4-4b9d-b74d-85d6750a284e was granted leadership with fencing token a15c6bcdb99d52265a3589a610bc4349
2022-07-26 15:38:01.757 > INFO   springAppName_IS_UNDEFINED o.a.f.r.r.slotmanager.SlotManager Starting the SlotManager.
2022-07-26 15:38:01.758 > INFO   springAppName_IS_UNDEFINED o.a.f.r.h.n.e.EmbeddedLeaderService Received confirmation of leadership for leader akka://flink/user/resourcemanager_291abeab-09a4-4b9d-b74d-85d6750a284e , session=5a3589a6-10bc-4349-a15c-6bcdb99d5226
2022-07-26 15:38:01.767 > INFO   springAppName_IS_UNDEFINED o.a.f.r.blob.PermanentBlobCache Created BLOB cache storage directory C:\Users\Mechrevo\AppData\Local\Temp\blobStore-41ca5b4a-82de-486a-8b23-d2edcc773d87
